"city_ID","common_name","scientific_name","city","state","longitude_coordinate","latitude_coordinate","address","district","diameter_breast_height_CM","height_M","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","tree_ID","planted_date","most_recent_observation","retired_date","most_recent_observation_type","location_type","zipcode","neighborhood","location_name","ward","overhead_utility","condition","percent_population"
16957,"Carrotwood","Cupaniopsis anacardioides","Garden Grove","California",-117.9840789,33.76669034,"13471 Wilson St",12,45.72,98.4252,"introduced","more than 18.29 m","30.48 to 45.72 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16958,"Carrotwood","Cupaniopsis anacardioides","Garden Grove","California",-117.9843591,33.76666124,"13471 Wilson St",12,30.48,98.4252,"introduced","more than 18.29 m","15.24 to 30.48 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16959,"Carrotwood","Cupaniopsis anacardioides","Garden Grove","California",-117.9871356,33.76662638,"13471 Wynant Dr",12,45.72,98.4252,"introduced","more than 18.29 m","30.48 to 45.72 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16961,"Carrotwood","Cupaniopsis anacardioides","Garden Grove","California",-117.9771673,33.76675129,"13471 Yockey St",12,45.72,98.4252,"introduced","more than 18.29 m","30.48 to 45.72 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16962,"Carrotwood","Cupaniopsis anacardioides","Garden Grove","California",-117.9883173,33.76661672,"13472 Balos Dr",12,45.72,147.6378,"introduced","more than 18.29 m","30.48 to 45.72 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16963,"Carrotwood","Cupaniopsis anacardioides","Garden Grove","California",-117.9881664,33.76661592,"13472 Balos Dr",12,45.72,147.6378,"introduced","more than 18.29 m","30.48 to 45.72 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16964,"Crape myrtle","Lagerstroemia indica","Garden Grove","California",-117.9335301,33.76706133,"13472 Barnett Way",9,15.24,98.4252,"introduced","more than 18.29 m","0 to 15.24 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16965,"Crape myrtle","Lagerstroemia indica","Garden Grove","California",-117.9334944,33.76706336,"13472 Barnett Way",9,15.24,98.4252,"introduced","more than 18.29 m","0 to 15.24 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16966,"Carrotwood","Cupaniopsis anacardioides","Garden Grove","California",-117.9891308,33.76660399,"13472 Coast St",12,45.72,147.6378,"introduced","more than 18.29 m","30.48 to 45.72 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16967,"Evergreen pear","Pyrus kawakamii","Garden Grove","California",-117.8975905,33.78500905,"13472 Dawn Ave",1,30.48,98.4252,"no_info","more than 18.29 m","15.24 to 30.48 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16971,"Crape myrtle","Lagerstroemia indica","Garden Grove","California",-117.9364929,33.76708569,"13472 Elmwood St",9,30.48,98.4252,"introduced","more than 18.29 m","15.24 to 30.48 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
